2025-09-09 at 20:02:47 | INFO | [MOVE] tg_id=7022782558, card=['8', '♣'], target=None
2025-09-09 at 20:02:58 | INFO | [MOVE] tg_id=7022782558, card=['6', '♥'], target=None
2025-09-09 at 20:02:59 | INFO | [Centrifugo] -> channel=room#10_ead1bb7e, event=move, status=True
2025-09-09 at 20:03:58 | INFO | [MOVE] tg_id=5254325840, card=['10', '♠'], target=['6', '♥']
2025-09-09 at 20:04:22 | INFO | [MOVE] tg_id=5254325840, card=['8', '♥'], target=['6', '♥']
2025-09-09 at 20:04:22 | INFO | [Centrifugo] -> channel=room#10_ead1bb7e, event=move, status=True
2025-09-09 at 22:39:26 | INFO | Бот остановлен...
2025-09-09 at 22:39:26 | INFO | Redis соединение закрыто
2025-09-09 at 23:02:19 | INFO | Бот запущен...
2025-09-09 at 23:02:19 | INFO | Redis подключен успешно
2025-09-09 at 23:02:19 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-09 at 23:03:21 | INFO | [BITO] room_id=10_ead1bb7e, tg_id=5254325840
2025-09-09 at 23:03:22 | INFO | [Centrifugo] -> channel=room#10_ead1bb7e, event=bito, status=True
2025-09-09 at 23:10:06 | INFO | Бот остановлен...
2025-09-09 at 23:10:06 | INFO | Redis соединение закрыто
2025-09-09 at 23:10:18 | INFO | Бот запущен...
2025-09-09 at 23:10:18 | INFO | Redis подключен успешно
2025-09-09 at 23:10:19 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-09 at 23:12:02 | INFO | Бот остановлен...
2025-09-09 at 23:12:02 | INFO | Redis соединение закрыто
2025-09-09 at 23:12:14 | INFO | Бот запущен...
2025-09-09 at 23:12:14 | INFO | Redis подключен успешно
2025-09-09 at 23:12:15 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-09 at 23:12:56 | INFO | [TEST] Создана тестовая комната 10_4ebe0e9e
2025-09-09 at 23:13:35 | INFO | [BITO] room_id=10_4ebe0e9e, tg_id=5254325840
2025-09-09 at 23:13:49 | INFO | [BITO] room_id=10_4ebe0e9e, tg_id=7022782558
2025-09-09 at 23:13:49 | INFO | [Centrifugo] -> channel=room#10_4ebe0e9e, event=bito, status=True
2025-09-09 at 23:19:31 | INFO | Бот остановлен...
2025-09-09 at 23:19:31 | INFO | Redis соединение закрыто
2025-09-09 at 23:19:43 | INFO | Бот запущен...
2025-09-09 at 23:19:43 | INFO | Redis подключен успешно
2025-09-09 at 23:19:44 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-09 at 23:20:18 | INFO | [TEST] Создана тестовая комната 10_e65753e1
2025-09-09 at 23:21:48 | INFO | [MOVE] tg_id=7022782558, card=['6', '♥'], target=None
2025-09-09 at 23:21:49 | INFO | [Centrifugo] -> channel=room#10_e65753e1, event=move, status=True
2025-09-09 at 23:23:18 | INFO | [BERU] room_id=10_e65753e1, tg_id=7022782558
2025-09-09 at 23:23:26 | INFO | [BERU] room_id=10_e65753e1, tg_id=5254325840
2025-09-09 at 23:23:26 | INFO | [Centrifugo] -> channel=room#10_e65753e1, event=beru, status=True
2025-09-09 at 23:29:37 | INFO | Бот остановлен...
2025-09-09 at 23:29:37 | INFO | Redis соединение закрыто
2025-09-09 at 23:32:52 | INFO | Бот запущен...
2025-09-09 at 23:32:52 | INFO | Redis подключен успешно
2025-09-09 at 23:32:53 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-09 at 23:35:33 | INFO | Бот остановлен...
2025-09-09 at 23:35:33 | INFO | Redis соединение закрыто
2025-09-09 at 23:35:47 | INFO | Бот запущен...
2025-09-09 at 23:35:47 | INFO | Redis подключен успешно
2025-09-09 at 23:35:47 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-09 at 23:36:32 | INFO | Бот остановлен...
2025-09-09 at 23:36:32 | INFO | Redis соединение закрыто
2025-09-09 at 23:36:50 | INFO | Бот запущен...
2025-09-09 at 23:36:50 | INFO | Redis подключен успешно
2025-09-09 at 23:37:25 | INFO | Бот остановлен...
2025-09-09 at 23:37:25 | INFO | Redis соединение закрыто
2025-09-09 at 23:37:38 | INFO | Бот запущен...
2025-09-09 at 23:37:38 | INFO | Redis подключен успешно
2025-09-09 at 23:38:00 | INFO | Бот остановлен...
2025-09-09 at 23:38:00 | INFO | Redis соединение закрыто
2025-09-09 at 23:38:12 | INFO | Бот запущен...
2025-09-09 at 23:38:12 | INFO | Redis подключен успешно
2025-09-09 at 23:45:26 | INFO | Бот запущен...
2025-09-09 at 23:45:26 | INFO | Redis подключен успешно
2025-09-09 at 23:47:22 | INFO | Бот запущен...
2025-09-09 at 23:47:22 | INFO | Redis подключен успешно
2025-09-09 at 23:48:15 | INFO | Бот остановлен...
2025-09-09 at 23:48:15 | INFO | Redis соединение закрыто
2025-09-09 at 23:48:28 | INFO | Бот запущен...
2025-09-09 at 23:48:28 | INFO | Redis подключен успешно
2025-09-10 at 00:00:20 | INFO | Бот остановлен...
2025-09-10 at 00:00:20 | INFO | Redis соединение закрыто
2025-09-11 at 14:48:20 | INFO | Бот запущен...
2025-09-11 at 14:48:24 | ERROR | Ошибка подключения к Redis: Error Multiple exceptions: [Errno 10061] Connect call failed ('::1', 6379, 0, 0), [Errno 10061] Connect call failed ('127.0.0.1', 6379) connecting to localhost:6379.
